page_type,시도,시군구,읍면동,리,지역표시명,source_html,confidence,is_valid,validation_note
region,강원특별자치도,춘천시,석사동,,석사동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\석사동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,송암동,,송암동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\송암동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,온의동,,온의동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\온의동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,춘천시교동,,춘천시교동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\춘천시교동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,춘천시수학,,춘천시수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\춘천시수학과외\index.html,high,true,정상
region,강원특별자치도,춘천시,춘천시영어,,춘천시영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\춘천시영어과외\index.html,high,true,정상
region,강원특별자치도,춘천시,퇴계동,,퇴계동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\퇴계동과외\index.html,high,true,정상
region,강원특별자치도,춘천시,후평동,,후평동,C:\Users\user\Documents\GitHub\studynavi\강원과외\춘천시과외\후평동과외\index.html,high,true,정상
region,강원특별자치도,태백시,,,태백시,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\index.html,high,true,정상
region,강원특별자치도,태백시,장성동,,장성동,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\강원장성동과외\index.html,high,true,정상
region,강원특별자치도,태백시,문곡동,,문곡동,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\문곡동과외\index.html,high,true,정상
region,강원특별자치도,태백시,철암동,,철암동,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\철암동과외\index.html,high,true,정상
region,강원특별자치도,태백시,태백시수학,,태백시수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\태백시수학과외\index.html,high,true,정상
region,강원특별자치도,태백시,태백시영어,,태백시영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\태백시영어과외\index.html,high,true,정상
region,강원특별자치도,태백시,황지동,,황지동,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\황지동과외\index.html,high,true,정상
region,강원특별자치도,평창군,,,평창군,C:\Users\user\Documents\GitHub\studynavi\강원과외\평창군과외\index.html,high,true,정상
region,강원특별자치도,평창군,평창군서동,,평창군서동,C:\Users\user\Documents\GitHub\studynavi\강원과외\평창군과외\평창군서동과외\index.html,high,true,정상
region,강원특별자치도,평창군,평창군수학,,평창군수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\평창군과외\평창군수학과외\index.html,high,true,정상
region,강원특별자치도,평창군,평창군영어,,평창군영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\평창군과외\평창군영어과외\index.html,high,true,정상
region,강원특별자치도,화천군,,,화천군,C:\Users\user\Documents\GitHub\studynavi\강원과외\화천군과외\index.html,high,true,정상
region,강원특별자치도,화천군,간동,,간동,C:\Users\user\Documents\GitHub\studynavi\강원과외\화천군과외\간동과외\index.html,high,true,정상
region,강원특별자치도,화천군,화천군수학,,화천군수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\화천군과외\화천군수학과외\index.html,high,true,정상
region,강원특별자치도,화천군,화천군영어,,화천군영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\화천군과외\화천군영어과외\index.html,high,true,정상
region,강원특별자치도,횡성군,,,횡성군,C:\Users\user\Documents\GitHub\studynavi\강원과외\횡성군과외\index.html,high,true,정상
region,강원특별자치도,횡성군,대동,,대동,C:\Users\user\Documents\GitHub\studynavi\강원과외\횡성군과외\강원대동과외\index.html,high,true,정상
region,강원특별자치도,횡성군,횡성군서동,,횡성군서동,C:\Users\user\Documents\GitHub\studynavi\강원과외\횡성군과외\횡성군서동과외\index.html,high,true,정상
region,강원특별자치도,횡성군,횡성군수학,,횡성군수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\횡성군과외\횡성군수학과외\index.html,high,true,정상
region,강원특별자치도,횡성군,횡성군영어,,횡성군영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\횡성군과외\횡성군영어과외\index.html,high,true,정상
region,경기도,,,,경기도,C:\Users\user\Documents\GitHub\studynavi\경기과외\index.html,high,true,정상
region,경기도,경기고등,,,경기고등,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기고등과외\index.html,high,true,정상
region,경기도,경기수학,,,경기수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기수학과외\index.html,high,true,정상
region,경기도,경기수학,경기고등수학,,경기고등수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기수학과외\경기고등수학과외\index.html,high,true,정상
region,경기도,경기수학,경기중등수학,,경기중등수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기수학과외\경기중등수학과외\index.html,high,true,정상
region,경기도,경기수학,경기초등수학,,경기초등수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기수학과외\경기초등수학과외\index.html,high,true,정상
region,경기도,경기영어,,,경기영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기영어과외\index.html,high,true,정상
region,경기도,경기영어,경기고등영어,,경기고등영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기영어과외\경기고등영어과외\index.html,high,true,정상
region,경기도,경기영어,경기중등영어,,경기중등영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기영어과외\경기중등영어과외\index.html,high,true,정상
region,경기도,경기영어,경기초등영어,,경기초등영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기영어과외\경기초등영어과외\index.html,high,true,정상
region,경기도,경기중등,,,경기중등,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기중등과외\index.html,high,true,정상
region,경기도,경기초등,,,경기초등,C:\Users\user\Documents\GitHub\studynavi\경기과외\경기초등과외\index.html,high,true,정상
region,경기도,고양시,,,고양시,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\index.html,high,true,정상
region,경기도,고양시,가좌동,,가좌동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기가좌동과외\index.html,high,true,정상
region,경기도,고양시,동산동,,동산동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기동산동과외\index.html,high,true,정상
region,경기도,고양시,백석동,,백석동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기백석동과외\index.html,high,true,정상
region,경기도,고양시,신원동,,신원동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기신원동과외\index.html,high,true,정상
region,경기도,고양시,일산동,,일산동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기일산동과외\index.html,high,true,정상
region,경기도,고양시,중산동,,중산동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기중산동과외\index.html,high,true,정상
region,경기도,고양시,화정동,,화정동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\경기화정동과외\index.html,high,true,정상
region,경기도,고양시,고양동,,고양동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\고양동과외\index.html,high,true,정상
region,경기도,고양시,고양시수학,,고양시수학,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\고양시수학과외\index.html,high,true,정상
region,경기도,고양시,고양시영어,,고양시영어,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\고양시영어과외\index.html,high,true,정상
region,경기도,고양시,관산동,,관산동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\관산동과외\index.html,high,true,정상
region,경기도,고양시,대화동,,대화동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\대화동과외\index.html,high,true,정상
region,경기도,고양시,덕은동,,덕은동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\덕은동과외\index.html,high,true,정상
region,경기도,고양시,덕이동,,덕이동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\덕이동과외\index.html,high,true,정상
region,경기도,고양시,도내동,,도내동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\도내동과외\index.html,high,true,정상
region,경기도,고양시,마두동,,마두동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\마두동과외\index.html,high,true,정상
region,경기도,고양시,삼송동,,삼송동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\삼송동과외\index.html,high,true,정상
region,경기도,고양시,성사동,,성사동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\성사동과외\index.html,high,true,정상
region,경기도,고양시,식사동,,식사동,C:\Users\user\Documents\GitHub\studynavi\경기과외\고양시과외\식사동과외\index.html,high,true,정상
