page_type,시도,시군구,읍면동,리,지역명,학교명,학교급,대상,과목,메인키워드,슬러그,제목,설명,본문,source_html
school,대전광역시,대덕구,중리동,,동대전고등학교,동대전고등학교,고등학교,고등학생,수학과외,동대전고등학교 고등학생 수학과외,동대전고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\대전과외\대덕구과외\대전중리동과외\동대전고과외\index.html
school,부산광역시,부산진구,전포동,,부산마케팅고등학교,부산마케팅고등학교,고등학교,고등학생,영어과외,부산마케팅고등학교 고등학생 영어과외,부산마케팅고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\부산과외\부산진구과외\전포동과외\부산마케팅고과외\index.html
school,서울특별시,강남구,삼성동,,경기고등학교,경기고등학교,고등학교,고등학생,수학과외,경기고등학교 고등학생 수학과외,경기고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\서울과외\강남구과외\서울삼성동과외\경기고과외\index.html
school,세종특별자치시,세종시,한솔동,,한솔고등학교,한솔고등학교,고등학교,고등학생,영어과외,한솔고등학교 고등학생 영어과외,한솔고등학교고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\세종과외\세종시과외\한솔동과외\한솔고과외\index.html
school,울산광역시,동구,서부동,,남목고등학교,남목고등학교,고등학교,고등학생,수학과외,남목고등학교 고등학생 수학과외,남목고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\울산과외\동구과외\울산서부동과외\남목고과외\index.html
school,인천광역시,계양구,효성동,,인천효성고등학교,인천효성고등학교,고등학교,고등학생,수학과외,인천효성고등학교 고등학생 수학과외,인천효성고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\인천과외\계양구과외\효성동과외\인천효성고과외\index.html
school,전라남도,광양시,중동,,광양백운고등학교,광양백운고등학교,고등학교,고등학생,수학과외,광양백운고등학교 고등학생 수학과외,광양백운고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전남과외\광양시과외\전남중동과외\광양백운고과외\index.html
school,전북특별자치도,전주시,효자동,,전주대학교사범대학부설고등학교,전주대학교사범대학부설고등학교,고등학교,고등학생,수학과외,전주대학교사범대학부설고등학교 고등학생 수학과외,전주대학교사범대학부설고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전북과외\전주시과외\전북효자동과외\전주대학교사범대학부설고과외\index.html
school,제주특별자치도,제주시,연동,,남녕고등학교,남녕고등학교,고등학교,고등학생,수학과외,남녕고등학교 고등학생 수학과외,남녕고등학교고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\제주과외\제주시과외\제주연동과외\남녕고과외\index.html
school,충청남도,논산시,부창동,,쌘뽈여자고등학교,쌘뽈여자고등학교,고등학교,고등학생,국영수과외,쌘뽈여자고등학교 고등학생 국영수과외,쌘뽈여자고등학교고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\충남과외\논산시과외\부창동과외\쌘뽈여자고과외\index.html
